name,desc
Findor,Name in Sindarin: ⇐ fin + -dor
Finduilas,Name in Sindarin: f.
Finellach,Name in Sindarin: "?Flame of Hair and Eye" ⇐ fîn? + hen(d)? + lach?
Finglas,Name in Sindarin: "Leaflock"
Fingolfin,Name in Sindarin: m.
Fingon,Name in Sindarin: "Hair Shout" ⇐ fîn + -gon
Finrod,Name in Sindarin: ⇐ fîn + raud¹
Finu,Name in Sindarin: m.
Finwain,Name in Sindarin: m.
Fíriel,Name in Sindarin: ⇐ Feir + -iel¹
Fladrif,Name in Sindarin: "Skinbark" ⇐ #flâd + #rîf
Foen,Name in Sindarin: "Long Sight" ⇐ foen
Forfalas,Name in Sindarin: "North Falas" ⇐ forn + falas
Forlindon,Name in Sindarin: "Lindon north of the Gulf of Lune" ⇐ forn + Lindon
Forlond,Name in Sindarin: "North Haven" ⇐ forn + lond
Forlonnas,Name in Sindarin: "North-harbourage" ⇐ forn + #lonnas
Fornarthan,Name in Sindarin: "North Beacon"
Fornost,"Name in Sindarin: "Norbury, (lit.) Northern Fortress" ⇐ forn + ost"
Fornost,Name in Sindarin: m. "Norbury of the Kings" ⇐ Fornost + aran (plural)
Forochel,Name in Sindarin: "*Northern Ice"
Forodwaith,"Name in Sindarin: "North-region, Northmen" ⇐ forod + gwaith"
Fui,Name in Sindarin: loc. "Paths of the Dead"
Fuinur,Name in Sindarin: ⇐ fuin
Gaerdil,Name in Sindarin: "*Sea-lover"
Gaerys,Name in Sindarin: "Ossë" ⇐ #gaer¹ + †Yssi
Galadhon,Name in Sindarin: ⇐ galadh + -on¹
Galadhrim,Name in Sindarin: "Tree-people" ⇐ galadh + -rim
Galadlóriel,"Name in Sindarin: "Golden Rain, (lit.) Golden Tree" ⇐ galadh + #glóriel"
Galador,Name in Sindarin: ⇐ galadh + -dor
Galadriel,Name in Sindarin: "Glittering-garland" ⇐ galad + -riel
Galadwen,Name in Sindarin: ⇐ galadh + gwend
Galathil,Name in Sindarin: m.
Galathilion,Name in Sindarin: "White Tree" ⇐ galadh + √THIL + -ion¹
Galdor,Name in Sindarin: ⇐ √GAL¹ + -dor
Garthúrian,Name in Sindarin: "Hidden Realm" ⇐ gardh + thurin + -ian(d)
Gaurwaith,Name in Sindarin: "Wolf-men" ⇐ gaur + gwaith (soft-mutation)
Gelennil,Name in Sindarin: "Lover of Trees" ⇐ galadh + #-dil
Gelion,Name in Sindarin: loc.
Gelir,Name in Sindarin: "Merry"
Gelmir,Name in Sindarin: ⇐ N. gell + mîr
Gil-Amdir,Name in Sindarin: ⇐ gil + amdir
Gilammoth,Name in Sindarin: ⇐ gil + moth
Gilbarad,Name in Sindarin: ⇐ gil + barad
Gildor,Name in Sindarin: ⇐ gil + -dor
Gil-Estel,Name in Sindarin: "Star of (High) Hope" ⇐ gil + estel
Gil-galad,"Name in Sindarin: "Starlight, (lit.) Star of Radiance" ⇐ gil + galad"
Gilmith,Name in Sindarin: "*Grey Star" ⇐ gil + mith
Gil-Orrain,Name in Sindarin: "Star of High Hope" ⇐ gil + ar(a)- + ?
Gilraen,Name in Sindarin: "*Netted Stars" ⇐ gil + raen¹
Gilrain,Name in Sindarin: "*Wandering Star" ⇐ gil + rain
Gilthoniel,Name in Sindarin: "Star-kindler" ⇐ gil + √THAN + -iel¹
Ginglith,Name in Sindarin: loc.
Gladhwen,Name in Sindarin: "Laughing Maiden" ⇐ gladh- + gwend (soft-mutation)
Gladuial,Name in Sindarin: "*Twilight Wood" ⇐ glad + uial (soft-mutation)
Glamdring,Name in Sindarin: "Foe-hammer" ⇐ glamog (plural) + #dring
Glamhoth,"Name in Sindarin: "Orcs, (lit.) Din-horde, Host of Tumult" ⇐ glam + hoth"
Glanduin,Name in Sindarin: "Border-river" ⇐ glan(n) + duin
Glanhír,Name in Sindarin: "Boundary Stream" ⇐ glan(n) + sîr (soft-mutation)
Glaurung,Name in Sindarin: "Gold-worm" ⇐ glaur + ?
Glewellin,Name in Sindarin: "Song of Gold" ⇐ glawar + lind¹
Glindûr,Name in Sindarin: "*Dark Glance" ⇐ glîn(n) + dûr
Glingal,Name in Sindarin: "Hanging Flame" ⇐ N. gling- + √KAL
Glinnel,Name in Sindarin: "*Singer-elf" ⇐ lind¹ + †Ell
Glirhuin,Name in Sindarin: ⇐ N. glir- + ?
Glithui,Name in Sindarin: loc.
Glóredhel,Name in Sindarin: "*Golden Elf" ⇐ glaur + Edhel
Glorfindel,Name in Sindarin: "Golden-hair" ⇐ glaur + finnel
Glorfinniel,Name in Sindarin: "Goldilocks" ⇐ glaur + find + -iel¹
Glórindol,Name in Sindarin: "Goldenhead" ⇐ #glórin + dol(l) (soft-mutation)
Glornan,Name in Sindarin: "Valley of Gold(en Light)" ⇐ glaur + nan(d)
Gódhel,Name in Sindarin: "(Exiled) Noldo"
Goenor,Name in Sindarin: "Fell Fire"
Golodhbaeth,Name in Sindarin: "*Noldor-speech"
Gondolin,"Name in Sindarin: "Hidden Rock, (originally) Singing Stone" ⇐ gond + dolen"
Gondolindrim,Name in Sindarin: "People of Gondolin" ⇐ Gondolin + -rim
Gondor,Name in Sindarin: "Stone-land" ⇐ gond + dôr
Gondrant,Name in Sindarin: "Stone-trail"
Gon(g)lin,"Name in Sindarin: "Singing Stone, Stone of Music""
Gonnhirrim,Name in Sindarin: "Masters of Stone" ⇐ gond + hîr + -rim
Gorgoroth,Name in Sindarin: "Valley of Terror"
Goro[...]thress,Name in Sindarin: loc.
Gorthaur,Name in Sindarin: "?Mist of Fear"
Gorthol,Name in Sindarin: "Dread Helm" ⇐ gor + thôl
Gothmog,Name in Sindarin: m.
Grond,Name in Sindarin: "Hammer of the Underworld" ⇐ grond
Guilin,Name in Sindarin: m.
Gundor,Name in Sindarin: m.
Gurthang,Name in Sindarin: "Iron of Death" ⇐ gurth + ang
Gwahaedir,Name in Sindarin: "?Far Watcher" ⇐ #gwahae + #tir- (soft-mutation)
Gwaihir,Name in Sindarin: "Windlord" ⇐ gwae + hîr
Gwaith-i-Mírdain,Name in Sindarin: "People of the Jewel Smiths" ⇐ gwaith + i¹ (plural) + #mírdan (plural)
Gwanwen,Name in Sindarin: "Departed"
Gwathir,Name in Sindarin: "River of Shadow" ⇐ gwath + sîr (soft-mutation)
Gwathló,Name in Sindarin: "Greyflood" ⇐ gwath + l(h)ô
Gwathuirim,Name in Sindarin: "Dunlendings" ⇐ #gwathui + -rim
Gwenedhel,Name in Sindarin: ⇐ gwanwen + Edhel
Gwindor,Name in Sindarin: m.
Gwingloth,Name in Sindarin: "Foam-flower" ⇐ gwing + loth
Gwinion,Name in Sindarin: "Young-land" ⇐ #gwain¹ + -ion²
Hadhodrond,"Name in Sindarin: "Dwarrowdelf, (lit.) Dwarrowvault" ⇐ Hadhod + rond"
Hador,Name in Sindarin: "Warrior"
Haerast,Name in Sindarin: "Far Shore" ⇐ hae + ras(t)
Halbarad,Name in Sindarin: ⇐ N. hall²? + barad?
Haldir,Name in Sindarin: ⇐ N. hall¹ + dîr¹
Halethrim,Name in Sindarin: "People of Haleth" ⇐ Ed. Haleth + -rim
Hallas,Name in Sindarin: m.
Hallonnas,Name in Sindarin: "South-harbourage" ⇐ harn + #lonnas
Handir,Name in Sindarin: ⇐ N. ?hand + dîr¹
Harad,Name in Sindarin: "The South" ⇐ harad
Haradrim,"Name in Sindarin: "Southrons, (lit.) People of the Harad" ⇐ harad + -rim"
Haradwaith,"Name in Sindarin: "South-folk, the Harad" ⇐ harad + gwaith (soft-mutation)"
Harathrad,Name in Sindarin: "South Ford" ⇐ harn + athrad
Harfalas,Name in Sindarin: "South Falas" ⇐ harn + falas
Harlindon,Name in Sindarin: "Lindon south of the Gulf of Lune" ⇐ harn + Lindon
Harlond,Name in Sindarin: "South Haven" ⇐ harn + lond
Harnen,Name in Sindarin: "*South Water" ⇐ harn + nen
Harondor,Name in Sindarin: "Southern Gondor" ⇐ harn + Gondor (soft-mutation)
Hathaldir,Name in Sindarin: ⇐ ? + dîr¹
Hathol,Name in Sindarin: "The Axe" ⇐ hathol
Hatholdir,Name in Sindarin: "*Axe-man" ⇐ hathol + dîr¹
Haudh-en-Arwen,Name in Sindarin: "Ladybarrow" ⇐ haudh + en¹ + Arwen
Haudh-en-Ellas,Name in Sindarin: loc.
Haudh-en-Elleth,Name in Sindarin: "Mound of the Elf-maid" ⇐ haudh + en¹ + Elleth
Haudh-en-Ndengin,"Name in Sindarin: "Hill of Slain, (lit.) Mound of the Slain" ⇐ haudh + en¹ + dangen (mixed-mutation plural)"
Haudh-en-Nirnaeth,Name in Sindarin: "Mound of Tears" ⇐ haudh + en¹ + nirnaeth
Haudh,Name in Sindarin: Gwanûr loc. "*Burial Mound of the Twins"
Helevorn,Name in Sindarin: "Black Glass" ⇐ heledh + morn (soft-mutation)
Henderch,Name in Sindarin: m.
Henneth,Name in Sindarin: loc. "Window of the Sunset" ⇐ henneth + annûn
Herion,Name in Sindarin: m.
Himlad,Name in Sindarin: "Cool Plain; (lit.) ?Ever-plain" ⇐ him² + lad
Himring,Name in Sindarin: "Ever-cold" ⇐ #him¹ + ring
Hirgon,Name in Sindarin: m.
Hírilorn,Name in Sindarin: "Tree of the Lady" ⇐ híril + orn
Hirluin,Name in Sindarin: ⇐ hîr + luin
Hirwen,Name in Sindarin: ⇐ hîr + gwend
Hithaeglir,"Name in Sindarin: "Misty Mountains, (lit.) Line of Misty Peaks" ⇐ hîth + #aeglir"
Hithlû,Name in Sindarin: "Hithlum"
Hithlum,Name in Sindarin: see North S. Hithlum
Huan,"Name in Sindarin: "Great Dog, Hound""
Húrin,Name in Sindarin: ⇐ N. hûr + ind
Húrinien,Name in Sindarin: "Children of Húrin" ⇐ Húrin + ?
Hurinionath,Name in Sindarin: "Descendants of Húrin" ⇐ Húrin + -ion¹ + -ath
Iant,Name in Sindarin: loc. "Old Bridge" ⇐ iant + iaur
Iarwain,Name in Sindarin: "Old-young"
Iarwain,Name in Sindarin: m. "Oldest and Fatherless" ⇐ Iarwain + pen¹ (soft-mutation) + adar
Iathrim,Name in Sindarin: "*People of the Fence" ⇐ iath + -rim
i,Name in Sindarin: Daeron pn. "*the Runes of Daeron"
Îdh,"Name in Sindarin: "Estë, (lit.) Rest, Repose, Peace" ⇐ îdh"
Idril,Name in Sindarin: f.
Imlad,Name in Sindarin: loc. "Morgul Vale" ⇐ imlad + morgul
Imladris,"Name in Sindarin: "Rivendell, (lit.) Deep Dale of the Cleft" ⇐ imlad + riss"
Imloth,Name in Sindarin: loc. "Lovely or Sweet Flower-valley" ⇐ †im³ + loth + melui
Imrath,Name in Sindarin: loc. "Stonewain Valley" ⇐ imrath + gond + rasg (plural)
Ingildon,Name in Sindarin: "?"
Inglor,Name in Sindarin: m.
Inglorion,Name in Sindarin: "*Son of Inglor" ⇐ Inglor + -ion¹
Inias,Name in Sindarin: pn. "Annals of Beleriand"
Ínias,Name in Sindarin: pn. "Annals of Valinor"
Iôn,Name in Sindarin: "Son" ⇐ ion(n)
#Ioreglon,Name in Sindarin: ⇐ iaur + Eglon
Ioreth,Name in Sindarin: "Old Woman" ⇐ iaur + -eth
Iorhael,Name in Sindarin: "Frodo" ⇐ iaur + #sael (soft-mutation)
Iorlas,Name in Sindarin: ⇐ iaur + lass
Íreth,Name in Sindarin: f.
Ithilbor,Name in Sindarin: "*Moon-fist" ⇐ Ithil + paur (soft-mutation)
Ithilien,Name in Sindarin: "Land of the Moon" ⇐ Ithil + -ian(d) (plural)
Ithryn,Name in Sindarin: pn. "Blue Wizards"
Ivann,Name in Sindarin: "Fruit-giver"
Ivonwin,Name in Sindarin: "Maidens of Yavanna" ⇐ Ivann + gwend (soft-mutation plural)
Ivorwen,Name in Sindarin: ⇐ ? + gwend (soft-mutation)
Ivrin,Name in Sindarin: loc.
Ivriniel,Name in Sindarin: ⇐ Ivrin + -iel¹
Labadal,Name in Sindarin: "Hopafoot" ⇐ #laba- + tâl (soft-mutation)
Lachend,Name in Sindarin: "Flame-eyed" ⇐ lach + hen(d) (soft-mutation)
Ladros,Name in Sindarin: loc.
Laegel,Name in Sindarin: ⇐ †laeg + †Ell
Laegolas,Name in Sindarin: "Green-foliage"
Laer,Name in Sindarin: Beleg pn. "Song of the Great Bow" ⇐ laer² + cû + beleg
Laewen,Name in Sindarin: ⇐ √LAY + gwend
Lalaith,Name in Sindarin: "Laughter" ⇐ lalaith
Lammas,Name in Sindarin: "Account of Tongues" ⇐ lam¹ + #-as
Lammoth,Name in Sindarin: "Great Echo" ⇐ #lam² + -oth
Landroval,Name in Sindarin: "Broad Winged" ⇐ #land + roval
Lanthir,Name in Sindarin: loc. "Waterfall of Echoing Voices" ⇐ lanthir + #lam² (class-plural)
Lasgalen,Name in Sindarin: "Green of Leaf" ⇐ lass + calen (soft-mutation)
Lebennin,Name in Sindarin: "Five Rivers" ⇐ leben + nen (plural)
Lefnui,Name in Sindarin: "Fifth" ⇐ levnui
Legolas,Name in Sindarin: see Nan. Legolas
Legolin,Name in Sindarin: loc.
Lest,Name in Sindarin: pn. "Girdle of Melian" ⇐ lest + Melian
Levain,"Name in Sindarin: coll. "Petty Dwarves, (lit.) Two-legged Animals""
Lhûn,Name in Sindarin: "Deep of Water"
Limhír,Name in Sindarin: "Clear/Sparkling River" ⇐ limp + sîr (soft-mutation)
Limlint,Name in Sindarin: "Limlight" ⇐ lim + glîn(n) (soft-mutation)
Limphîr,Name in Sindarin: "Limliht"
Linaewen,Name in Sindarin: "Lake of Birds"
Lindedhel,Name in Sindarin: "Nandorin Elf" ⇐ lind¹ + Edhel
Lindel,Name in Sindarin: "Nando" ⇐ lind¹ + †Ell
Lindir,Name in Sindarin: ⇐ lind¹ + dîr¹
Lindis,Name in Sindarin: ⇐ lind¹ + N. dîs
Lindon,Name in Sindarin: "Land of Music" ⇐ lind¹
Linhir,Name in Sindarin: "Fair Stream"
Lisgardh,Name in Sindarin: "Land of Reeds"
Lithir,Name in Sindarin: "?Ash River" ⇐ lith? + sîr (soft-mutation)
Lithlad,Name in Sindarin: "Plain of Ashes" ⇐ lith + lad
Lô,Name in Sindarin: loc. "Great Fen"
Loeg,Name in Sindarin: loc. "Gladden Fields" see Nan. Loeg Ningloron
Lond,Name in Sindarin: loc. "Great Haven" ⇐ lond + daer¹
Lond,Name in Sindarin: Enedh loc. "Great Middle Haven" ⇐ lond + daer¹ + enedh
Lórien,Name in Sindarin: "*Golden Lands" ⇐ glaur + -ian(d) (plural)
Lórindol,Name in Sindarin: "Goldenhead" see S. Glórindol
Losgar,Name in Sindarin: loc.
Lossarnach,Name in Sindarin: "Flowery Arnarch" ⇐ loss + Un. Arnach
Lossoth,Name in Sindarin: "Snowmen" ⇐ loss + hoth (soft-mutation)
Lothíriel,Name in Sindarin: ⇐ loth + hîr + -iel¹
Lothlann,Name in Sindarin: "Wide and Empty" ⇐ #lost + #land
Lothlórien,"Name in Sindarin: "Dreamflower, (lit.) Lórien of the Blossom" ⇐ loth + Lórien"
Lúthien,Name in Sindarin: "Daughter of Flowers" ⇐ lûth + -ien
Mablung,Name in Sindarin: "Heavy Hand" ⇐ mâb + #lung
Maedhros,Name in Sindarin: "*Shapely and Red-haired"
Maeglin,Name in Sindarin: "Sharp Glance" ⇐ maeg + glîn(n)
Maglor,Name in Sindarin: "*Forging Gold"
Magor,Name in Sindarin: "The Sword" ⇐ #magor
Malbeth,Name in Sindarin: "*Golden Word" ⇐ malt + peth (soft-mutation)
Malduin,Name in Sindarin: "Yellow River" ⇐ √MAL + duin
Malgalad,Name in Sindarin: "?yellow radiance" ⇐ √MAL + galad
Mallor,Name in Sindarin: ⇐ √MAL + glaur (suffix)
Malvegil,Name in Sindarin: "?Sword of Gold" ⇐ malt + megil (soft-mutation)
Manwe,Name in Sindarin: m.
Meiniel,Name in Sindarin: ⇐ √MAN + -iel¹
Meldis,Name in Sindarin: "?Beloved Bride" ⇐ #mel- + N. dîs
Melian,Name in Sindarin: "Dear Gift" ⇐ mell + ann¹
Melthinorn,Name in Sindarin: "Tree of Gold" ⇐ N. malthen (plural) + orn
Menegroth,Name in Sindarin: "Thousand Caves" ⇐ #meneg + groth
Meneldor,Name in Sindarin: "*Lord of the Heavens" ⇐ menel + -dor
Menelrond,Name in Sindarin: "Heaven-dome" ⇐ menel + rond
Menelvagor,"Name in Sindarin: "Orion, (lit.) Swordsman of the Sky" ⇐ menel + #magor (soft-mutation)"
Mengas,Name in Sindarin: loc. "?Dark Gap in the Way" ⇐ men² + N. gas + dûr
Men-i-Naugrim,"Name in Sindarin: "Dwarf Road, (lit.) Way of the Dwarves""
Mereth,Name in Sindarin: pn. "Feast of Reuniting" ⇐ mereth + aderthad
Merethrond,Name in Sindarin: "Great Hall of Feasts" ⇐ mereth + rond
Meril,Name in Sindarin: "Rose"
Methed-en-Glad,Name in Sindarin: "End of the Wood"
Methedras,Name in Sindarin: "Last Peak" ⇐ methed + rass
Methiriad,Name in Sindarin: "?End of Two Rivers" ⇐ #meth + sîr (soft-mutation) + †-ad
Mildor,Name in Sindarin: "Wine-land" ⇐ dôr
Minas,Name in Sindarin: loc. "Tower of the (Setting) Sun" ⇐ minas + Anor
Minas,Name in Sindarin: loc. "Tower of the (Rising) Moon" ⇐ minas + Ithil
Minas,Name in Sindarin: loc. "Tower of Sorcery" ⇐ minas + morgul
Minas,"Name in Sindarin: loc. "Tower of Guard, Tower of Watch" ⇐ minas + tirith"
Mindeb,Name in Sindarin: loc.
Mindolluin,Name in Sindarin: "Towering Blue-head" ⇐ minas + dol(l) + luin
Minhiriath,Name in Sindarin: "Between the Rivers" ⇐ mîn (prefix) + sîr (soft-mutation) + -ath (soft-mutation)
Miniel,Name in Sindarin: "Vanyar" ⇐ min¹ + †Ell
Minlamad,Name in Sindarin: pn. "mode of Elvish verse" ⇐ minlamad + thent
Min-Rimmon,Name in Sindarin: "Peak of the Rimmon"
Mitheithel,"Name in Sindarin: "Hoarwell, (lit.) Grey Spring" ⇐ mith + eithel"
Mithlond,Name in Sindarin: "Grey Havens" ⇐ mith + lond
Mithrandir,"Name in Sindarin: "Grey Pilgrim, Grey Wanderer" ⇐ mith + randir"
Mithrellas,Name in Sindarin: ⇐ #mithren + lass
Mithrim,Name in Sindarin: ⇐ mith + -rim
Mithrimin,Name in Sindarin: ⇐ Mithrim
Morannon,Name in Sindarin: "Black Gate" ⇐ √MOR + annon
Moravar,Name in Sindarin: ⇐ √MOR + †Avar
Morben,Name in Sindarin: "*Dark-folk" ⇐ morn + pen² (soft-mutation)
Morbenedh,Name in Sindarin: "*Dark-elf" ⇐ √MOR + †penedh (soft-mutation)
Mordor,Name in Sindarin: "Black Land" ⇐ morn + dôr
Moredhel,Name in Sindarin: see S. Mornedhel
Morgai,Name in Sindarin: "Black Fence" ⇐ morn + cai (soft-mutation)
Morgoth,"Name in Sindarin: "Black Foe, Dark Foe, Black Enemy, Dark Tyrant" ⇐ √MOR + #coth (soft-mutation)"
Morgulduin,Name in Sindarin: ⇐ morgul + duin
Moria,"Name in Sindarin: "Black Chasm, Black Pit" ⇐ morn + iâ"
Mormegil,Name in Sindarin: "Black Sword" ⇐ morn + megil (nasal-mutation)
Mornan,Name in Sindarin: "Dark Valley" ⇐ morn + nan(d)
Mornedhel,Name in Sindarin: "Dark-elf" ⇐ morn + Edhel
Morthond,Name in Sindarin: "Blackroot" ⇐ morn + thond
Morwen,Name in Sindarin: "Dark Maiden" ⇐ √MOR + -wen
Naeramarth,Name in Sindarin: "Evil-Fated"
Naith,"Name in Sindarin: "Gore, Triangle" ⇐ naith"
Nan,Name in Sindarin: loc. "Valley of Saruman" ⇐ nan(d) + Curunír
Nanduhirion,"Name in Sindarin: "Dimrill Dale, (lit.) Vale of (the Region of) Dim Streams" ⇐ nan(d) + dû + sîr (soft-mutation) + -ion²"
Nan,Name in Sindarin: loc. "Valley of Dreadful Death" ⇐ nan(d) + N. donn? + gorthob
Nan,Name in Sindarin: loc. "*Valley of Starry Dusk" ⇐ nan(d) + †êl + moth
Nan,Name in Sindarin: loc. "Stonewain Valley" ⇐ nan(d) + gond + rasg (plural) + -ion²
Nan,Name in Sindarin: loc. "Valley of Gold(en Light)"
Nan-tathren,"Name in Sindarin: "Land of Willows, (lit.) Willow-vale" ⇐ nan(d) + tathren"
Narchost,Name in Sindarin: "Bitter-biting Fort"
Nardol,Name in Sindarin: "Fire-hilltop" ⇐ naur + dol(l)
Nargothrond,Name in Sindarin: "*Underground Fortress of Narog" ⇐ Narog + othrond
Narog,Name in Sindarin: loc.
Nauglamír,Name in Sindarin: "Necklace of the Dwarves" ⇐ N. naugol + †-a + mîr
Naugrim,Name in Sindarin: "Dwarves" ⇐ naug + -rim
Neithan,"Name in Sindarin: "The Wronged, (lit.) one who is deprived" ⇐ neithan"
Neldoreth,Name in Sindarin: ⇐ neldor + -th
Nellas,Name in Sindarin: "?Three-leaf" ⇐ N. nel- + lass
Nen,"Name in Sindarin: loc. "Mirrormere, (lit.) Lake Looking-glass" ⇐ nen + cenedril"
Nen,Name in Sindarin: loc. "Water of Awakening" ⇐ nen + echui
Nen,Name in Sindarin: loc. "Shuddering Water" ⇐ nen + girith
Nen,Name in Sindarin: loc. "Mist-cool Water" ⇐ nen + hîth + #oel
Nen,Name in Sindarin: loc. "*Water of Laughter" ⇐ nen + lalaith
Nenning,Name in Sindarin: "? Water" ⇐ nen + ?
Nenuial,"Name in Sindarin: "Lake Evendim, (lit.) Water of Twilight" ⇐ nen + uial"
Nevrast,Name in Sindarin: "Hither Shore" ⇐ nef + ras(t)
Niben-nog,Name in Sindarin: "Petty Dwarf" ⇐ niben + naug
Nimbrethil,Name in Sindarin: "Silver-birches" ⇐ nim + brethil¹
Nimloth,"Name in Sindarin: "White Blossom, Pale Blossom" ⇐ nim + loth"
Nimphelos,Name in Sindarin: "Pale ?Snow" ⇐ nimp + loss
Nimras,Name in Sindarin: "White Horn" ⇐ nim + rass
Nimrodel,Name in Sindarin: "Lady of the White Cave" ⇐ nim + groth + -iel¹
Nindalf,Name in Sindarin: "Wetwang" ⇐ nîn¹ + talf (soft-mutation)
Nínedhel,Name in Sindarin: "?Tear(ful) Elf" ⇐ #nîn²? + Edhel
Níniel,Name in Sindarin: "Tear-maiden" ⇐ #nîn² + -iel¹
Nîn-in-Eilph,"Name in Sindarin: "Swanfleet, Waterlands of the Swans" ⇐ nen (plural) + i¹ (plural) + alph (plural)"
Nirnaeth,Name in Sindarin: pn. "Tears Unnumbered"
Nivrim,Name in Sindarin: "West March"
Nogoth,Name in Sindarin: pn. "Petty Dwarf" ⇐ Nogoth (plural) + niben (plural)
Nogrod,"Name in Sindarin: "Hollowbold; (lit.) Hollow-delving, (later) Dwarf-delving" ⇐ naug + groth"
Nornhabar,Name in Sindarin: "Dwarrowdelf" ⇐ #norn + #sabar (soft-mutation)
Nost,Name in Sindarin: pn. "House of Finarfin"
Núath,Name in Sindarin: "?Under Shadow" ⇐ nu + gwath
Núneth,Name in Sindarin: ⇐ Q. núna + -eth
Nurn,Name in Sindarin: loc.
Núrnen,"Name in Sindarin: "Sad Water, Dead Water" ⇐ ? + nen"
Ódhel,Name in Sindarin: "Elf who left for Aman"
Ogolmar,Name in Sindarin: ⇐ bâr
Onodló,Name in Sindarin: "Entwash" ⇐ Onod + l(h)ô
Orchaldor,Name in Sindarin: "*Tall Lord" ⇐ orchal + -dor
Orchorod,Name in Sindarin: "High Mountain Circle" ⇐ orod + *corod
Orcrist,Name in Sindarin: "Orc-cleaver" ⇐ orch + crist
Orfalch,Name in Sindarin: loc. "*High Cleft of the Outer Circle" ⇐ N. or + #falch + echor
Ornil,Name in Sindarin: ⇐ orn + ?
Orod-na-Thôn,Name in Sindarin: "Mount of the Pine Tree(s)" ⇐ orod + na(n) + thôn
Orodreth,Name in Sindarin: "Mountaineer" ⇐ orod + reth
Orodruin,Name in Sindarin: "Mountain of Fire" ⇐ orod + ruin
Oropher,Name in Sindarin: m.
Orophin,Name in Sindarin: m.
Orthanc,"Name in Sindarin: "Mount Fang, Forked Height" ⇐ orod? + #thanc"
Osgiliath,Name in Sindarin: "Citadel of the Stars" ⇐ ost + gil (class-plural)
Ossir,Name in Sindarin: "Seven-rivers"
Ossiriand,Name in Sindarin: "Land of Seven Rivers" ⇐ ✶otoso + sîr + -ian(d)
Ost-in-Edhil,Name in Sindarin: "Fortress of the Eldar" ⇐ ost + i¹ (plural) + Edhel (plural)
Othramar,Name in Sindarin: "?Stranger Home" ⇐ othol + bâr
Othrondir,Name in Sindarin: "?Stronghold Man" ⇐ othrond + dîr¹
Panthael,Name in Sindarin: "Fullwise" ⇐ #pant + #sael (soft-mutation)
Parth,Name in Sindarin: loc. "Field of Celebrant" ⇐ parth + Celebrant
Parth,Name in Sindarin: loc. "Green Sward" ⇐ parth + calen (soft-mutation)
Pelargir,Name in Sindarin: "Garth of Royal Ships" ⇐ #pêl + ar(a)- + cair (soft-mutation plural)
Pelennor,Name in Sindarin: "Fenced Land" ⇐ #pêl + dôr
Pen-arduin,Name in Sindarin: loc.
Pengolodh,Name in Sindarin: ⇐ pengolodh
Peredhel,Name in Sindarin: "Half-elf" ⇐ #per- + Edhel
Perhael,"Name in Sindarin: "Samwise, (lit.) Half-wise" ⇐ #per- + #sael (soft-mutation)"
Pinnath,Name in Sindarin: loc. "Green Ridges" ⇐ pind (class-plural) + calen (soft-mutation plural)
Poros,Name in Sindarin: loc.
Radhruin,Name in Sindarin: m.
Ragnir,Name in Sindarin: m.
Ragnor,Name in Sindarin: m.
Raith,Name in Sindarin: loc. "Paths of the Dead"
Ramdal,Name in Sindarin: "Wall's End" ⇐ ram + tâl (soft-mutation)
Rammas,Name in Sindarin: loc. "Great Wall of the Outer Circle" ⇐ rammas + echor
Ras-Arphain,Name in Sindarin: ⇐ rass + ar(a)- + fain (plural)
Ras,Name in Sindarin: loc. "*Cape of the Gulls"
Ras,Name in Sindarin: loc. "Andrast" ⇐ ras(t) + morn + till (nasal-mutation)
Rasmund,Name in Sindarin: "Horned Bull" ⇐ rass + mund
Rath,Name in Sindarin: loc. "Lampwrights' Street" ⇐ rath + calardan (plural)
Rath,Name in Sindarin: loc. "Silent Street" ⇐ rath + dínen
Rathlóriel,Name in Sindarin: "Golden-bed" ⇐ rath + #glóriel (soft-mutation)
Rauros,Name in Sindarin: "Roaring Spray" ⇐ ᴹ√RAW + ross¹
Region,Name in Sindarin: "*Hollin" ⇐ ereg + -ion²
Remmirath,Name in Sindarin: "Netted Jewels" ⇐ rem + mîr + -ath
Rerir,Name in Sindarin: loc.
Rhevain,"Name in Sindarin: "Wild-men, Savages" ⇐ rhovan (plural)"
Rhosgobel,Name in Sindarin: "Russet Village"
Rhovanion,Name in Sindarin: "Wilderland" ⇐ rhovan + -ion²
Rhudaur,Name in Sindarin: "?East Forest" ⇐ rhûn + taur (soft-mutation)
Rhûn,Name in Sindarin: "East" ⇐ rhûn
Rhúnedain,Name in Sindarin: "*Easterlings"
Rían,Name in Sindarin: "Crown-gift" ⇐ rî + ann¹
Ringló,Name in Sindarin: "Chillflood" ⇐ ring + l(h)ô
Ringnen,Name in Sindarin: "Chill-water"
Ringwil,Name in Sindarin: ⇐ ring + ?
Rivil,Name in Sindarin: loc.
Rochallor,Name in Sindarin: ⇐ roch + ?
Rochand,"Name in Sindarin: "Rohan, Horse-country" ⇐ roch + -ian(d)"
Roch-cheruin,Name in Sindarin: "Steed of the Lady" ⇐ roch + †heruin (soft-mutation)
Rochirrim,Name in Sindarin: "Horse-lords" ⇐ roch + hîr + -rim
Rochon,Name in Sindarin: pn. "Rider of the Last Hope"
Rodëol,Name in Sindarin: "metal of Eöl" ⇐ #raud² + Un. Eöl
Rodnor,Name in Sindarin: ⇐ raud¹ + naur
